DATE,BOPGSTB
2015-03-01,-48737.0
2015-04-01,-40519.0
2015-05-01,-38746.0
2015-06-01,-42208.0
2015-07-01,-40705.0
2015-08-01,-44463.0
2015-09-01,-42363.0
2015-10-01,-41769.0
2015-11-01,-40439.0
2015-12-01,-41605.0
2016-01-01,-42217.0
2016-02-01,-45695.0
2016-03-01,-37350.0
2016-04-01,-38192.0
2016-05-01,-40170.0
2016-06-01,-43737.0
2016-07-01,-41136.0
2016-08-01,-41635.0
2016-09-01,-39000.0
2016-10-01,-42644.0
2016-11-01,-46127.0
2016-12-01,-44100.0
2017-01-01,-46879.0
2017-02-01,-44171.0
2017-03-01,-43909.0
2017-04-01,-46074.0
2017-05-01,-45823.0
2017-06-01,-44803.0
2017-07-01,-44221.0
2017-08-01,-44163.0
2017-09-01,-44407.0
2017-10-01,-46986.0
2017-11-01,-48952.0
2017-12-01,-51889.0
2018-01-01,-53158.0
2018-02-01,-55787.0
2018-03-01,-47517.0
2018-04-01,-46521.0
2018-05-01,-43578.0
2018-06-01,-46978.0
2018-07-01,-51240.0
2018-08-01,-54509.0
2018-09-01,-55379.0
2018-10-01,-56304.0
2018-11-01,-50297.0
2018-12-01,-59769.0
